,0
AVB,0.10880873041981576
HRL,0.1453308046178561
CMS,0.1553862574876968
HAL,-0.11328077903911989
AET,0.2370830547691692
DTE,0.1354159188858881
JNJ,0.09594334986599734
MAR,0.17077428448684936
DOV,0.040611390138373844
UNP,0.12165494647202303
FLT,0.09212286273436106
NRG,0.0800597933334852
TSN,0.10611638791066774
IGT,-0.008989144344436444
APA,-0.21865203656549598
GPN,0.23163536196819434
NKE,0.13865352213985854
PNR,-0.04435382230367563
ESS,0.135454585057983
MTD,0.16929580460912888
LH,0.06484353777084159
HOG,-0.11511232557655629
MHK,-0.04828858210509758
PPL,0.04898547659286154
AMT,0.15614288799157738
DHR,0.1201653082460962
DVA,-0.041637151483531414
PXD,-0.0664602155871147
BAC,0.10556655760517308
EMN,0.0036206423479228783
HPQ,0.12231278578487358
WEC,0.13732632632067573
BDX,0.1584167937985889
GRMN,0.10303010342618392
KLAC,0.13784270661309994
MAT,-0.27340537937650505
PSA,0.0936573234271153
CCI,0.11499453273556973
MAC,-0.010488261954610733
AEP,0.13039936598809024
CDNS,0.2263632274935321
WAT,0.12694464561371602
MPC,0.0768943774367018
MSFT,0.2238001613337436
AMAT,0.1395212389938953
ADP,0.14584010644375486
FTNT,0.2606723126400944
TAP,0.020638314498447535
GILD,-0.017636058835469218
MTB,0.06297583081413624
BSX,0.21568870080374003
EQIX,0.17045016736563154
HAR,-0.08632922160175688
IBM,-0.0650078836494701
MS,0.06525228126489627
WHR,-0.05286313520251801
FSLR,-0.05044075387582425
VTR,0.027431640956302232
MSCI,0.2539768274401031
BBY,0.08817894274838528
SEE,0.018292140115065615
TXN,0.1792339897126604
EVRG,0.1470603013855676
AJG,0.11939958408807347
CMG,-0.042033851448111885
POM,-0.04630892737796873
AFL,0.08610886157375645
APH,0.128753818575427
GM,0.0007902537096153794
AXP,0.02472722273352794
WELL,0.10276933738863095
NBR,-0.4047608017355599
GPS,-0.05260790214347297
DD,0.06743794265274555
ATI,-0.08583388561307101
CPB,-0.026983268373467276
PVH,-0.07477674278818447
WU,0.03146589001499232
NVDA,0.43413850134644066
VZ,0.07277310581268569
UAA,-0.042237569206696746
ADI,0.12941281483065548
PCG,-0.08003673423919681
WYNN,-0.11160704481834442
VMC,0.10827091909083376
BIIB,0.014718351730092463
MCO,0.12877363387089835
GLW,0.1284857073846604
CI,0.1553617476256021
COF,0.01616752319536341
RRC,-0.4315833288082932
TEL,0.08338910000563675
AMG,-0.15748220852421013
ABMD,0.49955754297080734
CVS,0.002326935206900205
SWK,0.09883379062241156
CINF,0.11159775171209457
BMS,0.04987336886218813
CSX,0.17354875304340334
AVGO,0.33569209391131866
A,0.10987065297537033
GT,-0.018318783915670767
INCY,0.04558238412011366
TROW,0.050865513144021504
GD,0.11920907975428688
LEN,0.004715031700947923
DUK,0.08786684852698495
TRIP,-0.08578361983025498
DGX,0.10863385692547853
LMT,0.14138648729922132
OI,-0.14603134345019791
PWR,-0.00920633465772858
ALGN,0.2597770267114645
SIG,-0.16745039252731825
AIG,-0.033335351471480285
IVZ,-0.1207171476238257
COL,-0.5107798981053047
ED,0.10334612538226404
NUE,0.02314846564273493
HCA,0.19412830060751957
HOLX,0.12183634924972128
ROK,0.07028883400921675
CF,0.01666969929405733
FOSL,-0.40628439002534433
GWW,0.04072620369245404
MNST,0.155758546505858
NFX,-0.10376849840175317
PBI,-0.22405214139927043
ARE,0.15130525018070645
KSS,0.06937601806014548
XRAY,-0.04690201175263887
SLB,-0.15724923483740003
MKC,0.15982280760216366
FCX,-0.2443742460769714
USB,0.048581025830886596
EXPE,0.10494037653402445
NTRS,0.07962748207352897
TDC,-0.0340954585106036
HBAN,0.06862399397635632
K,0.01814010038876253
PEP,0.08657152475630205
CRM,0.18179603601809638
CNP,0.0830024847191902
COST,0.13301085215143993
LKQ,-0.06534652251401801
BAX,0.12747513638403343
IFF,0.10813601418910071
MSI,0.1276635702421282
VRTX,0.16042566407205905
HST,0.013502344815788644
SO,0.06087421451758199
SYY,0.1360493189017116
BA,0.19763571231443672
ROP,0.13684734666203052
M,-0.07862303845848612
SBAC,0.11777737030285064
CPRI,-0.1522626975690248
RIG,-0.3655060128510865
MUR,-0.16783193073166514
NTAP,0.09431483679202819
OMC,0.025091518495634534
IQV,0.18380981949330166
RSG,0.17947803815647792
EXC,0.13634026419958883
PGR,0.19022429371105176
CE,0.11590624435106124
KDP,0.25914893058686284
MCHP,0.11977062934653043
SPGI,0.1677931176880557
SCHW,0.10225281124959296
ECL,0.08067430855224458
SJM,0.003909394763216129
GIS,-0.01614935630291353
NOV,-0.18638343691121534
XYL,0.14505129951579773
DIS,0.08644035040248862
FE,0.0694057152899605
DLR,0.19760946758074552
F,-0.08773666886607762
COO,0.14545020323380575
L,-0.005826342280266027
PSX,0.050917400609842504
PM,-0.0075079225913318726
PAYX,0.10470992369187283
T,0.028314457283581174
ETN,0.009018877018161578
PH,0.04862381163238631
ISRG,0.2638589949542704
FANG,0.11288267264063509
CAG,-0.016046425374132457
ADBE,0.265850765919887
YUM,0.12513618743702185
CSCO,0.16383592025229132
NFLX,0.3254165775392073
FAST,0.04615188089653804
CNX,-0.2014950551957307
LIN,0.05960243561927576
LEG,0.06024746068762122
MDLZ,0.04344608799807259
BMY,0.019996446885341853
AME,0.056922748377695745
PRU,0.006391540917225325
ALLE,0.12550319427296752
DRI,0.1777779393133469
ROL,0.21250927162388095
EVHC,0.0003046611823496288
NDAQ,0.16116841213450014
FTI,-0.1915339729306005
UNM,-0.014684631666405545
NWSA,-0.08165514733523818
VFC,0.04961982989600315
GOOGL,0.12443258161149343
CBOE,0.15297628215747672
IPG,0.05809453608085466
HII,0.16200115221935135
TJX,0.08164162064006428
TXT,0.04657128416027059
COP,0.005397792565696138
ACN,0.1288088514778541
KO,0.059555731908612165
MGM,0.01225948178889587
ICE,0.11563980240058941
INTU,0.2001366436194388
SWKS,0.18259509788628586
STX,-0.01958671261809251
AIZ,0.08071262315368741
DVN,-0.18886865684894552
LNC,0.016176445972774976
ABT,0.14881943140207218
HP,-0.07012004783846112
DAL,0.13532697167184837
MU,0.07552976346086773
IDXX,0.2504155580514844
EXPD,0.10046538253949819
D,0.05870154891237629
WDC,-0.13638370725991492
PFE,0.10649283543157867
CHD,0.15335786553846711
NWS,-0.0763712633923784
SBUX,0.11609339472599274
HLT,0.09761600255456956
VLO,0.11167238745729327
BK,0.0777384975614584
TGNA,-0.04716145400420142
RCL,0.1643409524100719
FLS,-0.13180325993723133
ADSK,0.1876763935392533
CB,0.06815226164200286
AMD,0.31247034040182264
MLM,0.11823844958480567
HES,-0.12593016181245806
LUV,0.18904724793441133
PNC,0.10499173469482251
TGT,0.04202989893264761
COTY,-0.14747659894801252
CLF,-0.23754091344164308
CME,0.21863897857248388
HIG,0.05997154999928539
CBRE,0.0840620134275448
HON,0.10390155339589376
CMCSA,0.07199325077501074
AOS,0.10384284364607008
NCLH,0.03564503355308981
CMI,0.01706161899546561
HSIC,0.06360479909584484
TMO,0.14360242737492662
JBHT,0.046984939995735955
IT,0.11747911117531243
UAL,0.15889897785231621
ABBV,0.14665655522967616
ZION,0.07205346690327516
CHTR,0.14683127824983475
AES,0.03336926549057824
ZTS,0.19989886560966338
REG,0.07936112327502032
ANDV,0.21347442455820492
AAL,0.05665279764953436
PFG,0.009275324218940218
HRB,0.0047990316081009616
UNH,0.2549174803890062
ALK,0.11580614942301362
GNW,-0.2407516409145678
ETR,0.10726472641497335
AMP,0.004999472531776766
OKE,0.05132803625031712
DLTR,0.09410704866854576
XEL,0.14800648586319692
EIX,0.07087506433532283
JPM,0.12797907210450038
APD,0.11228744484728101
BR,0.19750897027578232
GAS,0.05281957358131621
EQT,-0.1880941975910189
ALL,0.10172699035902526
ULTA,0.18617094300971085
EA,0.2470851982386802
JNPR,0.051230467338424
COV,0.1329952701797047
AEE,0.15340952801559415
KMB,0.05756005258196184
RF,0.08300386865700969
TDG,0.21131604063502873
EW,0.30773677099170305
MCD,0.1505898851353382
INTC,0.14763616105584157
ITW,0.10405148318620847
UPS,0.014597106741669669
FL,0.07060038175920061
KMI,-0.13079170037565446
WBA,0.0543640979087201
KIM,-0.010893219602526281
AVY,0.1388551001252859
FIS,0.14400802827570813
AIV,0.13829181824459627
NOC,0.16908274632443399
HD,0.16861431305540506
BXP,0.05507867825882813
JCI,-0.027594924770282858
URBN,-0.022213405916406137
PDCO,-0.12350597318599875
PCAR,0.02971119028305617
CCL,0.06733306151515595
SLG,-0.0037671051404246036
HAS,0.10439158305409436
CHRW,0.09627965293018867
FFIV,0.11569232573806952
EXR,0.18845884858761044
MRO,-0.16100685023942837
RL,-0.08838549752715001
ILMN,0.19954389074073442
PKG,0.08313567979604038
AAP,0.07223255671970646
IPGP,0.07565092364725604
DHI,0.0989354357295568
AN,-0.06613059356412229
AON,0.12199219526328373
CCEP,0.09801248366875487
TSCO,0.02692475257069818
AYI,0.01324105079296233
DISH,-0.1682775332058595
MOS,-0.07322257581490957
ORCL,0.04777409006519917
AWK,0.1752472886914547
EQR,0.11148658957148216
LNT,0.13209365672447568
AMZN,0.26521957941982793
BKNG,0.07864868998836305
MET,-0.0001580472467881483
NEM,0.09000013022782001
ES,0.11855904615800467
ALB,0.05528986106805875
MA,0.1696591944947631
ROST,0.16942432355845594
BEN,-0.09602829474340566
CL,0.004150372214816452
BLK,0.06775042020737405
CAT,0.09825718606126715
AAPL,0.15353648161156364
STT,-0.010950256047775353
MRK,0.11563282514739653
PNW,0.13135724472160323
AMGN,0.13121197738585205
SRCL,-0.23051008376518223
GS,0.0016933354246705334
GOOG,0.12358332522354512
URI,0.054817599786369395
MMC,0.12044346594513151
NEE,0.17043621984905608
RHI,0.07963380331126546
LOW,0.14183132413117552
FMC,0.0076536066575783185
PLD,0.1255705641141291
CLX,0.12885947546334273
TRV,0.07883951273083312
ADM,0.0157904179020351
RMD,0.195651729122448
IP,-0.0003992451055729985
VNO,0.01994687800357399
DG,0.1259654833421144
QCOM,-0.02026561082605158
ORLY,0.1968077194083654
GPC,0.056654340136853665
VRSN,0.1816997268551716
SNA,0.0734526034317941
BWA,-0.08091805588782493
NKTR,0.21266851552878197
O,0.15029508245507409
FITB,0.04774050991071039
VRSK,0.10126233446112959
EFX,0.07203127329613274
CVX,0.012319199501992286
MAA,0.12893154635918008
EOG,0.014699235422788259
DFS,0.02995133955094831
PG,0.05649740052535043
SLM,-0.023253871727347775
SYK,0.16057202674026058
ANSS,0.09884413659081187
PEG,0.13462604593363325
SRE,0.09523135223404916
WY,-0.03565414478200621
ESRX,0.054690243340522485
LRCX,0.19739658547434408
PRGO,-0.26920989428055375
KEY,0.04225056012796887
WMT,0.05969325527725159
XRX,-0.0664728017860558
HSY,0.043614370628460915
APTV,0.05266031831497558
XOM,-0.04408682254532863
AKAM,0.05164288597610962
WMB,-0.05690581956053027
EMR,-0.0002883834533453172
KR,0.08122663045962229
NWL,-0.08842140728274342
HBI,-0.04647514061481016
SHW,0.1627003265590703
X,-0.08704606109370863
GME,-0.2134469371563938
REGN,0.0610549191437986
DE,0.12233810349692116
IRM,0.09343880775990601
LLY,0.19106933034237455
PPG,0.029935085402266144
THC,-0.17982155686941131
JBL,0.08452128518991125
KMX,0.05765334839277088
LYB,0.04159318186034078
ZBH,0.029809000540337197
MMM,0.086444011546918
MAS,0.08877649131199544
EL,0.12187832233851509
UDR,0.1398177912840972
CMA,0.09149353637470369
UHS,0.0753936303842041
CTAS,0.22140125385935572
TPR,-0.06751783766268009
WFC,0.031475353456830786
DXC,0.2037361724448031
FLR,-0.1669146492887334
HUM,0.21114816946402343
TTWO,0.3558803378746556
STZ,0.17341484802634566
R,-0.06201576950852965
MCK,-0.06870313348034357
JWN,-0.016191012500025682
C,0.009665740818715246
SPG,0.06937547697114238
CNC,0.2727989988754821
GHC,0.10526516154010075
JEF,-0.0843130673731796
JKHY,0.1650449868549767
FDX,0.030818988140476213
FRT,0.058974359773993026
RJF,0.08313750313661895
MDT,0.1117324130325564
WM,0.16348013225093658
V,0.17973817758125715
NSC,0.11984787593706353
PHM,0.06372186120139764
CAH,-0.05669348988615626
CTSH,0.049202731769814545
AZO,0.11238771428921553
MO,0.09274562067682621
NI,0.16360431077228274
SWN,-0.48905506330683707
GE,-0.22970111885808578
SNPS,0.14612819455414114
CPRT,0.19166816538854664
EBAY,0.03903056264687247
OXY,-0.038436504212358114
